filename,BRCA2,RAF1,HRAS,PIK3CA,CHEK2,MYC,BRCA1,PTEN,STK11,PALB2,TP53,CDH1,ERBB2,case_id,uuid
fa9d8ef2-0fd0-4fd8-8266-e4760b77d103.FPKM.txt.gz,0.92771609,10.95931469,23.94153237,3.937498407,2.111639379,39.06117949,5.068378545,8.860855878,11.31249311,4.45183177,18.96503694,154.7282911,36.7707975,6e7d5ec6-a469-467c-b748-237353c23416,TCGA-3C-AAAU
0ca5cc29-f48e-4533-a732-877e7bd2e73a.FPKM.txt.gz,0.945569504,19.00878136,56.5891611,2.652757753,3.47850843,2.994115778,2.354157877,5.292278792,9.321393767,4.221654314,5.61064706,115.1289932,972.5866871,55262fcb-1b01-4480-b322-36570430c917,TCGA-3C-AALI
dbb50b30-9856-4a56-91e1-d31ad106fd48.FPKM.txt.gz,1.030127744,14.21805521,50.96809023,1.920464956,2.569832512,20.52858734,1.2487859,7.421046048,14.38809223,3.615153093,17.0869558,72.06519724,54.89144236,427d0648-3f77-4ffc-b52c-89855426d647,TCGA-3C-AALJ
698eba4b-b0f0-4923-9e43-d9707959c65f.FPKM.txt.gz,0.559052671,12.07069795,23.33800604,2.289943447,2.697997059,22.2746041,0.851335564,8.555683802,10.60034147,2.714507821,17.55487373,75.55373032,165.8054858,c31900a4-5dcd-4022-97ac-638e86e889e4,TCGA-3C-AALK
463f2d23-8b4d-45f5-9600-06c2920498ca.FPKM.txt.gz,0.754877876,13.84921213,18.18633426,3.14499831,3.053261954,70.32205202,2.214563559,8.552401168,5.347852672,4.706480491,19.54916333,5.319182825,60.51770225,6623fc5e-00be-4476-967a-cbd55f676ea6,TCGA-4H-AAAK
8f446b76-1d90-4ae6-9f05-db1a0e441ce0.FPKM.txt.gz,0.548236119,12.44961399,16.55524346,2.887227165,3.82265895,26.97182475,1.177545569,8.006233976,13.06482696,3.293244136,19.55350833,44.56326808,46.80810342,86c6f993-327f-4525-9983-29c55625593a,TCGA-5L-AAT0
36725a42-52bc-4e9a-bb7c-728fbb8b1d19.FPKM.txt.gz,0.281279383,14.40008087,18.18694447,3.126499659,2.093311412,19.63587436,0.807201735,7.025223608,10.34777382,3.610761705,25.51657617,14.97902387,65.70148542,16fc3677-0393-4ed1-ad3f-c8355f056369,TCGA-5L-AAT1
0c05d8f9-d045-4189-95b8-04d221600a83.FPKM.txt.gz,1.82451568,15.74088327,9.415505957,3.739624146,1.753608394,126.1051605,2.076687517,11.64623681,5.876127179,3.935179879,56.73802499,187.1412346,32.35324744,0045349c-69d9-4306-a403-c9c1fa836644,TCGA-A1-A0SB
02939ecf-77d0-49fc-a04b-8fd5334b44da.FPKM.txt.gz,0.515385854,15.93090069,14.59313706,5.423144125,1.445518064,39.3552241,1.674961339,10.05143227,4.525376514,3.204079288,17.47712956,110.6455565,65.62126994,c462e422-eb8d-4daf-9897-2a9c6cbd783a,TCGA-A1-A0SD
b76eefac-da30-4ee4-9670-4afc45f86b4b.FPKM.txt.gz,0.684905412,13.33695998,10.22465966,4.3017406,2.977493223,36.90717432,2.755681968,9.789480884,6.462401121,6.169454919,19.1725984,87.47351062,46.3482555,c397e6c2-ba3a-4f5e-a258-c140611192fe,TCGA-A1-A0SE
17f01a59-b1fc-4a6e-86f3-51fc2cd0398a.FPKM.txt.gz,0.581753862,11.32526864,9.283421059,3.738262466,3.226054433,30.18478712,1.59287224,11.52811428,11.19888496,4.907164241,22.71034571,132.4740758,39.35611928,4b620966-b4c7-4615-bf58-ca9d3226b9bd,TCGA-A1-A0SF
325a69a6-7312-4c08-94d5-9d76fd913376.FPKM.txt.gz,0.511676506,12.89390224,16.00366715,2.940047813,1.635931965,7.446588037,1.883746939,8.003903883,8.600159225,6.697405967,21.2368268,96.91907275,53.12575215,0ed9ad26-7fdc-4d75-93f9-d029eee94993,TCGA-A1-A0SG
70089c01-2fbe-4501-bccf-747b40872d6a.FPKM.txt.gz,0.427254749,10.30566189,6.607006579,5.167470599,1.575671171,9.234475018,1.002507572,11.14671182,4.17869619,3.064468476,13.40119066,65.93861034,72.73739913,a6a863d9-b39d-4965-b47f-79a1bcf3c976,TCGA-A1-A0SH
be0d2e41-7373-4fa9-9c05-877e9ddcb88c.FPKM.txt.gz,0.912154043,15.15385462,23.20137343,4.477730143,4.473658067,6.934791743,2.251363954,12.5861848,6.503826581,6.789902173,21.70911434,80.21782201,21.53273171,16368c32-2118-4fcf-8693-6c89995e49d8,TCGA-A1-A0SI
